City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mezica,SI,75.99,light rain,46.52,14.85,Gostišče Krivograd
5,Cururupu,BR,81.03,moderate rain,-1.83,-44.87,Pousada Través'cia
8,Puerto Palomas,MX,87.8,clear sky,31.77,-107.62,Hotel San Carlos
15,Ribeira Grande,PT,77.0,scattered clouds,38.52,-28.7,Quinta da Meia Eira
19,Fare,PF,76.77,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
26,Kapaa,US,77.0,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
27,Vila,PT,82.99,scattered clouds,42.03,-8.16,Hotel Castrum Villae
30,Aksu,CN,83.05,clear sky,41.12,80.26,Pudong Holiday Hotel
31,Katsuura,JP,78.01,light rain,35.13,140.3,Katsuura Hotel Mikazuki
45,Padang,ID,79.61,overcast clouds,-0.95,100.35,Mercure Padang
46,Atuona,PF,77.97,light rain,-9.8,-139.03,Villa Enata
48,Meulaboh,ID,78.76,overcast clouds,4.14,96.13,Kost Pria
49,Butaritari,KI,82.81,broken clouds,3.07,172.79,Isles Sunset Lodge
50,Ipira,BR,80.24,overcast clouds,-12.16,-39.74,Hotel Phyccus
52,Lazaro Cardenas,MX,82.83,light rain,17.96,-102.2,Collection O Hotel Quinta Antigua
55,Saint Anthony,US,84.99,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
58,Sao Joao Da Barra,BR,75.2,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
71,Belmopan,BZ,89.01,broken clouds,17.25,-88.77,Villa San Juan
75,Georgetown,MY,84.2,scattered clouds,5.41,100.34,Cititel Penang
76,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
77,Komsomolskiy,UZ,78.8,clear sky,40.43,71.72,Ikathouse
79,Sahaswan,IN,81.95,few clouds,28.08,78.75,Lala Munna Lal Halbayi
82,Mormugao,IN,79.43,moderate rain,15.4,73.8,Hotel La-Paz Gardens
83,Anjar,IN,79.7,light rain,23.13,70.02,Manav Residency
86,Saint George,US,86.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
93,Budaun,IN,81.55,few clouds,28.05,79.12,Hotel J.P. Palace
95,Hithadhoo,MV,82.67,moderate rain,-0.6,73.08,Scoop Guest House
99,Kuala Terengganu,MY,80.6,few clouds,5.33,103.14,Hotel Grand Continental Kuala Terengganu (4 Star)
100,Bethel,US,84.99,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
101,Jablah,SY,87.8,clear sky,35.36,35.93,مدرسة محمد سعيد يونس الثانويه
102,Mayumba,GA,75.0,scattered clouds,-3.43,10.66,LIKWALE LODGE
110,Vermillion,US,84.99,clear sky,42.78,-96.93,Holiday Inn Express & Suites Vermillion
115,Naze,JP,84.2,broken clouds,28.37,129.48,奄美ポートタワーホテル
116,Kavieng,PG,77.23,moderate rain,-2.57,150.8,Nusa Island Retreat
117,Gidam,IN,75.63,overcast clouds,18.98,81.4,Dhanshree Lodge And DormItory
119,Madang,PG,77.47,moderate rain,-5.22,145.8,Comfort Inn Hotel
120,Westport,US,84.99,clear sky,41.14,-73.36,The Westport Inn
121,Mamallapuram,IN,84.2,scattered clouds,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
123,Bengkulu,ID,77.2,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
124,Shishou,CN,80.37,clear sky,29.72,112.42,Chuyuan Hotel
126,Orel-Izumrud,RU,75.2,scattered clouds,43.46,39.92,SM Royal
127,Hobyo,SO,76.37,scattered clouds,5.35,48.53,Osmani Hotel
146,Santa Helena De Goias,BR,80.15,scattered clouds,-17.81,-50.6,Hotel Pacheco
147,Korla,CN,82.0,scattered clouds,41.76,86.15,Gulisitan Hotel
148,Evans,US,84.99,few clouds,33.53,-82.13,Select Corporate Housing - Augusta GA Furnished Apartments
151,Lompoc,US,75.2,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
152,Lata,PT,82.99,scattered clouds,40.16,-8.33,Casa Maquia
156,Liberal,US,86.0,clear sky,37.04,-100.92,Hampton Inn & Suites Liberal
158,Kahului,US,78.8,clear sky,20.89,-156.47,Maui Seaside Hotel
159,San Patricio,MX,84.2,broken clouds,19.22,-104.7,Hotel Cabo Blanco
160,Calabar,NG,75.36,moderate rain,4.95,8.32,NAKS Hotels (Formerly NAF Club)
163,Catuday,PH,80.98,light rain,16.29,119.81,GResort
168,Chodavaram,IN,84.2,mist,17.83,82.95,Ganesh Defence Academy chodavadaram hostel
169,Victoria,HK,84.0,overcast clouds,22.29,114.16,Mini Hotel Central
172,Los Llanos De Aridane,ES,80.01,few clouds,28.66,-17.92,Valle Aridane
176,Colares,PT,79.0,clear sky,38.8,-9.45,Arribas Sintra Hotel
181,Polis,CY,86.0,clear sky,35.04,32.43,Marion
183,Abu Zabad,SD,81.97,light rain,12.35,29.25,محي الدين نوري
188,Vila Do Maio,CV,86.0,broken clouds,15.13,-23.22,Residence 'I Delfini'
190,Hambantota,LK,80.6,few clouds,6.12,81.12,Bungalow 63
191,Khash,IR,84.96,few clouds,28.22,61.22,دفتر پیشخوان دولت جمال زهی (خالد)
193,Caucaia,BR,84.2,scattered clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
194,Santa Rita,BR,84.2,scattered clouds,-7.11,-34.98,Infinity Motel
196,Bonthe,SL,80.65,light rain,7.53,-12.51,Bonthe Holiday Village
198,Meylan,FR,78.01,broken clouds,45.22,5.79,premiere classe
200,Jasper,US,86.0,clear sky,37.2,-94.35,Guest House Motel
203,Faanui,PF,76.37,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
208,Aden,YE,87.1,clear sky,12.78,45.04,Sama Emirate Hotel
209,Kampong Chhnang,KH,79.03,broken clouds,12.17,104.55,រមណីយដ្ឋាន ទឹកធ្លាក់ស្រែអំពិល
215,Graaff-Reinet,ZA,75.99,clear sky,-32.25,24.53,Rietjiesbos B&B
216,Eregli,TR,76.08,clear sky,37.51,34.05,Hotel Fuat Bey
217,Cocobeach,GA,82.4,scattered clouds,1.0,9.58,Hôtel A Cocobeach
220,San Quintin,MX,75.6,clear sky,30.48,-115.95,Old Mill Hotel
224,Hamilton,US,81.0,scattered clouds,39.18,-84.53,Six Acres Bed & Breakfast
226,North Platte,US,84.99,clear sky,41.12,-100.77,Holiday Inn Express & Suites North Platte
236,Hue,VN,80.6,scattered clouds,16.47,107.6,Saigon Morin Hotel
239,Iralaya,HN,89.6,scattered clouds,15.0,-83.23,Iglesia morava renovada
240,Itarema,BR,85.71,clear sky,-2.92,-39.92,Windvillage
245,Sao Filipe,CV,79.95,overcast clouds,14.9,-24.5,Tortuga B&B
246,Ponta Do Sol,PT,84.2,few clouds,32.67,-17.1,Hotel do Campo
247,Maragogi,BR,79.02,few clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
250,Cortez,US,75.2,clear sky,37.35,-108.59,Sand Canyon National 9 Inn
256,Fallon,US,82.0,haze,39.47,-118.78,Best Western Fallon Inn & Suites
265,Muros,ES,84.0,few clouds,42.78,-9.06,Apartment Av. Castelao
266,Santa Rosa,PH,82.99,overcast clouds,14.31,121.11,Amethyst Econotel
267,Baikunthpur,IN,76.14,scattered clouds,23.25,82.55,New Shree Annpurna Lodge
270,Velasco Ibarra,EC,82.31,scattered clouds,-1.05,-79.62,White Room Studio
273,Pontianak,ID,77.27,broken clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
278,Oistins,BB,87.8,shower rain,13.07,-59.53,Butterfly Beach Hotel
281,Kavaratti,IN,82.72,broken clouds,10.57,72.64,Bismillah Hotel And Lodging
284,Luoyang,CN,75.99,light rain,34.68,112.45,易家国际青年旅舍
