City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Mezica,SI,46.52,14.85,75.99,70,94,3.0,light rain,2020-08-23 16:23:02
1,Wennigsen,DE,52.27,9.57,70.0,60,20,19.46,few clouds,2020-08-23 16:23:02
2,Mataura,NZ,-46.19,168.86,44.01,91,53,1.99,broken clouds,2020-08-23 16:16:45
3,Severo-Kurilsk,RU,50.68,156.12,51.67,71,99,5.12,overcast clouds,2020-08-23 16:21:37
4,Konevo,RU,62.12,39.32,59.16,92,100,10.33,overcast clouds,2020-08-23 16:20:06
5,Cururupu,BR,-1.83,-44.87,81.03,86,47,6.64,moderate rain,2020-08-23 16:23:03
6,Ushuaia,AR,-54.8,-68.3,35.6,74,40,16.11,shower rain,2020-08-23 16:20:36
7,Punta Arenas,CL,-53.15,-70.92,37.4,59,40,23.04,scattered clouds,2020-08-23 16:16:46
8,Puerto Palomas,MX,31.77,-107.62,87.8,22,1,8.05,clear sky,2020-08-23 16:23:03
9,Arraial Do Cabo,BR,-22.97,-42.03,71.6,68,75,9.17,broken clouds,2020-08-23 16:20:39
10,Kropotkin,RU,45.44,40.58,73.83,30,15,7.43,few clouds,2020-08-23 16:23:03
11,Aswan,EG,24.09,32.91,97.66,15,0,4.85,clear sky,2020-08-23 16:23:03
12,Cajibio,CO,2.62,-76.57,73.38,57,1,3.87,light rain,2020-08-23 16:23:04
13,Yellowknife,CA,62.46,-114.35,54.0,71,40,8.05,scattered clouds,2020-08-23 16:20:37
14,Lumajang,ID,-8.13,113.22,73.2,85,62,0.76,broken clouds,2020-08-23 16:23:04
15,Ribeira Grande,PT,38.52,-28.7,77.0,83,40,8.05,scattered clouds,2020-08-23 16:21:08
16,Otradnoye,RU,59.78,30.82,66.2,68,90,2.24,overcast clouds,2020-08-23 16:23:04
17,Saskylakh,RU,71.92,114.08,42.6,77,0,6.64,clear sky,2020-08-23 16:20:37
18,Bakchar,RU,57.02,82.07,53.29,98,78,3.8,broken clouds,2020-08-23 16:23:04
19,Fare,PF,-16.7,-151.02,76.77,76,1,19.22,clear sky,2020-08-23 16:23:04
20,Erenhot,CN,43.65,111.98,67.78,56,59,10.36,light rain,2020-08-23 16:21:11
21,Bara,NG,10.37,10.73,73.8,88,100,6.6,light rain,2020-08-23 16:23:05
22,Revelstoke,CA,50.98,-118.2,57.2,82,40,2.24,scattered clouds,2020-08-23 16:23:05
23,Ambovombe,MG,-25.17,46.08,69.28,81,0,11.07,clear sky,2020-08-23 16:23:05
24,Mardin,TR,37.31,40.74,93.2,17,0,8.05,clear sky,2020-08-23 16:23:05
25,Rikitea,PF,-23.12,-134.97,69.35,83,95,20.47,overcast clouds,2020-08-23 16:20:34
26,Kapaa,US,22.08,-159.32,77.0,94,90,9.04,overcast clouds,2020-08-23 16:20:43
27,Vila,PT,42.03,-8.16,82.99,57,26,11.41,scattered clouds,2020-08-23 16:20:46
28,Bluff,NZ,-46.6,168.33,45.0,91,29,5.01,scattered clouds,2020-08-23 16:20:55
29,Jamestown,US,42.1,-79.24,73.99,88,75,3.36,broken clouds,2020-08-23 16:20:36
30,Aksu,CN,41.12,80.26,83.05,21,0,5.21,clear sky,2020-08-23 16:23:06
31,Katsuura,JP,35.13,140.3,78.01,92,61,3.0,light rain,2020-08-23 16:18:17
32,Tuktoyaktuk,CA,69.45,-133.04,55.4,82,20,8.05,few clouds,2020-08-23 16:17:22
33,Rundu,NA,-17.93,19.77,81.91,16,0,4.63,clear sky,2020-08-23 16:23:06
34,Bredasdorp,ZA,-34.53,20.04,59.0,87,100,11.41,overcast clouds,2020-08-23 16:16:17
35,Leningradskiy,RU,69.38,178.42,43.43,90,100,9.95,overcast clouds,2020-08-23 16:20:47
36,Vaini,TO,-21.2,-175.2,73.4,94,7,6.93,clear sky,2020-08-23 16:20:35
37,Airai,TL,-8.93,125.41,56.97,40,49,4.12,scattered clouds,2020-08-23 16:21:07
38,Bossangoa,CF,6.49,17.46,72.97,95,100,1.48,moderate rain,2020-08-23 16:23:07
39,Busselton,AU,-33.65,115.33,46.0,76,1,5.14,clear sky,2020-08-23 16:20:38
40,Lagoa,PT,39.05,-27.98,73.72,88,44,13.02,scattered clouds,2020-08-23 16:17:42
41,Luderitz,NA,-26.65,15.16,63.39,60,0,14.34,clear sky,2020-08-23 16:16:34
42,Mount Gambier,AU,-37.83,140.77,39.2,86,40,3.36,scattered clouds,2020-08-23 16:21:07
43,Mecca,SA,21.43,39.83,97.38,20,29,9.98,scattered clouds,2020-08-23 16:18:13
44,Shikhany,RU,52.12,47.22,59.79,68,43,3.69,scattered clouds,2020-08-23 16:23:07
