City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2020-08-22 15:53:32,-42.88,147.33,44.6,75,40,11.41
1,Sisimiut,GL,2020-08-22 15:53:32,66.94,-53.67,51.94,67,17,7.56
2,Valdivia,CL,2020-08-22 15:53:01,-39.81,-73.25,42.8,93,90,4.7
3,Vaini,TO,2020-08-22 15:53:32,-21.2,-175.2,73.4,100,20,5.82
4,Rikitea,PF,2020-08-22 15:53:33,-23.12,-134.97,66.31,71,100,18.95
5,Georgetown,MY,2020-08-22 15:53:33,5.41,100.34,80.6,88,20,3.36
6,Faanui,PF,2020-08-22 15:53:33,-16.48,-151.75,77.22,80,21,25.17
7,Puerto Ayora,EC,2020-08-22 15:53:33,-0.74,-90.35,68.0,82,75,11.41
8,Chokurdakh,RU,2020-08-22 15:53:33,70.63,147.92,32.58,97,100,5.26
9,Evensk,RU,2020-08-22 15:53:33,61.95,159.23,43.29,72,98,12.53
10,Mokhsogollokh,RU,2020-08-22 15:53:33,61.47,128.92,42.49,67,14,4.88
11,Waterloo,CA,2020-08-22 15:53:33,43.47,-80.52,82.99,57,1,4.7
12,Port Lincoln,AU,2020-08-22 15:53:34,-34.73,135.87,50.65,72,54,11.32
13,Cherskiy,RU,2020-08-22 15:53:34,68.75,161.3,38.32,92,100,19.93
14,Ixtapa,MX,2020-08-22 15:53:34,20.7,-105.2,84.0,83,75,3.36
15,Nanakuli,US,2020-08-22 15:53:34,21.39,-158.15,77.0,73,1,4.7
16,Rio Gallegos,AR,2020-08-22 15:53:34,-51.62,-69.22,48.2,57,75,17.22
17,Savonlinna,FI,2020-08-22 15:53:34,61.87,28.88,66.2,68,99,8.05
18,Luderitz,NA,2020-08-22 15:53:34,-26.65,15.16,72.59,21,0,8.01
19,Albany,US,2020-08-22 15:53:34,42.6,-73.97,80.01,68,0,4.32
20,Upernavik,GL,2020-08-22 15:43:49,72.79,-56.15,44.01,73,90,9.62
21,Mumford,GH,2020-08-22 15:53:35,5.26,-0.76,77.31,83,6,15.48
22,Ferkessedougou,CI,2020-08-22 15:53:35,9.6,-5.2,84.13,64,79,2.73
23,Avarua,CK,2020-08-22 15:53:35,-21.21,-159.78,71.6,83,22,6.93
24,Kaitangata,NZ,2020-08-22 15:53:35,-46.28,169.85,50.0,83,88,4.0
25,Gigmoto,PH,2020-08-22 15:53:35,13.78,124.39,81.88,81,54,4.83
26,Bilma,NE,2020-08-22 15:53:35,18.69,12.92,101.89,23,50,5.3
27,Roma,US,2020-08-22 15:50:05,43.21,-75.46,75.99,78,20,4.7
28,Bonthe,SL,2020-08-22 15:53:36,7.53,-12.51,79.54,82,100,9.82
